;Region;Country Code;Country;Year;Sex;32 - Contraceptive prevalence among women who are married or in a union  aged 15-49;35b - Antenatal care coverage  at least four visi;4 - Proportion of employed who are own-account workers  by sex;9 - Informal employment as a percentage of total non-agricultural employment  by sex;8b - Percentage distribution of employed population in industrial sector  by sex;31c - Educational attainment (upper secondary) of the population aged 25 and older  by sex;30 - Effective transition rate from primary to secondary education (general programmes)  by sex;20 - Youth literacy rate of persons (15-24 years)  by sex;24b - Gender parity index of the gross enrolment ratio in secondary education;10 - Youth unemployment rate for persons aged 15-24  by sex;36 - Proportion of births attended by skilled health professional;29 - Gross graduation ratio from lower secondary education  by sex;31d - Educational attainment (post-secondary) of the population aged 25 and older  by sex;26 - Proportion of females among tertiary education teachers or professor;3a - Labour force participation rate for persons aged 15-24  by sex;25 - Share of female science  engineering  manufacturing and construction graduates at tertiary level;27 - Adjusted net intake rate to the first grade of primary education  by sex;24a - Gender parity index of the gross enrolment ratio in primary education;8c - Percentage distribution of employed population in service sector  by sex;33 - Under-five mortality rate  by sex;23 - Gross enrolment ratio in tertiary education  by sex;6 - Proportion of employed who are employers  by sex;21 - Adjusted net enrolment rate in primary education by sex;28 - Primary education completion rate (proxy)  by sex;43 - Women’s share of government ministerial position;3b - Labour force participation rate for persons aged 15+  by sex;35a - Antenatal care coverage  at least one visi;31b - Educational attainment (lower secondary) of the population aged 25 and older  by sex;40 - Access to anti-retroviral drug  by sex;22 - Gross enrolment ratio in secondary education  by sex;39 - Women’s share of population aged 15-49 living with HIV_AIDS;14 - Proportion of employed working part-time  by sex;24c - Gender parity index of the gross enrolment ratio in tertiary education;44 - Proportion of seats held by women in national parliamen;50 - Prevalence of female genital mutilation_cutting (for relevant countries only);52 - Adolescent birth rate;8a - Percentage distribution of employed population in agricultural sector  by sex;51 - Percentage of women aged 20-24 years old who were married or in a union before age 18;34 - Maternal mortality ratio;45 - Women’s share of managerial position;18 - Proportion of individuals using mobile_cellular telephones  by sex;49 - Proportion of women (aged 15-49) subjected to sexual violence by persons other than an intimate partner  since age 15;37 - Smoking prevalence among persons aged 15 and over  by sex;31e - Educational attainment (tertiary) of the population aged 25 and older  by sex;5 - Proportion of employed who are contributing family workers  by sex;1 - Average number of hours spent on unpaid domestic and care work  by sex;48 - Proportion of ever-partnered women (aged 15-49) subjected to physical and_or sexual violence by a current or former intimate partner  in the last 12 month;46 - Share of female police officer;38 - Proportion of adults who are obese  by sex;31a - Educational attainment (primary) of the population aged 25 and older  by sex;2 - Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex;41 - Life expectancy at age 60  by sex;17 - Proportion of individuals using the Internet  by sex;47 - Share of female judge
12;Southern Asia;50;Bangladesh;2004;Female;58,5;15,9;;;;;;;;;13,2;;;15,4;;;;;;;3,66;;;;;;48,7;;;47,45;23;;;2,0;;133,0;;;333,0;;;;;;;;;;;;;;;
13;Southern Asia;50;Bangladesh;2011;Female;61,2;25,5;26,58;;;;;80,4;;;31,7;;;17,06;;;;;;;10,86;1,68;;78,57;;;54,6;;;54,53;32;;;18,6;;;;64,9;228,0;;;4,4;;;11,4;;50,7;;;;;;;
14;Southern Asia;50;Bangladesh;1997;Female;49,8;5,8;;;;;;;;;8,0;;;;;;;;;;;;;;;;26,4;;;;21;;;9,1;;147,0;;;446,0;;;;;;;;;;;;;;;
15;Southern Asia;50;Bangladesh;2013;Female;61,8;24,7;12,31;37,28;23,7;;;83,3;;9,61;34,4;;;;37,74;;;;22,83;38,2;;0,1;;97,04;;33,56;58,7;;;60,65;34;25,36;;19,7;;;53,47;52,3;201,0;14,95;77,45;;;;50,13;;;;;;;;5,1;
16;Southern Asia;50;Bangladesh;2013;Female;61,8;24,7;12,31;37,28;23,7;;;83,3;;9,61;36,5;;;;37,74;;;;22,83;38,2;;0,1;;97,04;;33,56;58,7;;;60,65;34;25,36;;19,7;;;53,47;52,3;201,0;14,95;77,45;;;;50,13;;;;;;;;5,1;
17;Southern Asia;64;Bhutan;2000;Female;30,7;;;;;;94,74;;;;23,7;;;;;;26,86;;;74,5;;;56,18;47,33;;;51,0;;;26,93;34;;;2,0;;61,7;;;423,0;;;;;;;;;;;;;17,91;;
18;Southern Asia;64;Bhutan;2007;Female;35,4;;;;;;;;;;71,4;;;;;;;;;;3,83;;;;;;88,0;;;51,12;42;;;2,7;;;;;263,0;;;;;;;;;;;;;;;
19;Southern Asia;64;Bhutan;2007;Female;35,4;;;;;;;;;;53,6;;;;;;;;;;3,83;;;;;;88,0;;;51,12;42;;;2,7;;;;;263,0;;;;;;;;;;;;;;;
20;Southern Asia;64;Bhutan;2010;Female;65,6;77,3;28,06;;6,71;;100,0;;;10,96;70,0;;;22,7;40,29;;70,67;;28,13;38,3;5,28;0,13;90,17;95,6;0,0;63,87;97,3;;;66,66;44;50,8;;8,5;;;65,29;25,8;204,0;;;;;;48,65;;;;;;;20,12;;
21;Southern Asia;64;Bhutan;2010;Female;65,6;77,3;28,06;;6,71;;100,0;;;10,96;64,5;;;22,7;40,29;;70,67;;28,13;38,3;5,28;0,13;90,17;95,6;0,0;63,87;97,3;;;66,66;44;50,8;;8,5;;;65,29;25,8;204,0;;;;;;48,65;;;;;;;20,12;;
22;Southern Asia;144;Sri Lanka;2000;Female;70,0;;17,2;;;;;;;30,78;96,0;;;;30,34;;;;;14,9;;0,8;;;;36,49;94,5;;;;29;;;4,9;;30,8;;;57,0;;;;;;26,5;;;;;;;21,67;;
23;Southern Asia;144;Sri Lanka;2007;Female;68,4;92,5;22,48;;27,1;;99,42;;;28,1;98,6;;;;30,27;;95,97;;34,37;;;0,71;96,01;97,17;;36,96;99,4;;;;31;;;4,9;;;36,84;11,8;39,0;;;;;;21,68;;;;;;;;;
24;Southern Asia;356;India;1999;Female;48,2;29,5;;;;;89,74;;;;40,2;;;;;;;;;;;;;60,48;;;65,1;;;35,35;35;;;8,1;;52,1;;;395,0;;;;;;;;;;;;;;;
25;Southern Asia;356;India;1999;Female;48,2;29,5;;;;;89,74;;;;42,3;;;;;;;;;;;;;60,48;;;65,1;;;35,35;35;;;8,1;;52,1;;;395,0;;;;;;;;;;;;;;;
26;Southern Asia;356;India;2008;Female;54,8;;;;;;;;;;52,3;;;;;;94,12;;;;;;97,64;95,14;10,25641025641;;;;;56,75;38;;;9,1;;41,6;;;237,0;;;;;;;;;0,04;2,5;;;;;
27;Southern Asia;356;India;2000;Female;46,9;;52,61;;11,48;;88,41;;;10,3;42,5;;;36,97;26,4;;85,37;;13,73;96,1;7,5;0,4;76,62;63,52;;34,1;61,8;;;37,1;35;;;9,0;;51,0;74,8;;374,0;;;;;;37,83;;;;;;;17,49;;
28;Southern Asia;356;India;2004;Female;53,0;;;;;;83,0;;;;;;;40,0;;;;;;;8,73;;93,0;81,0;;;;;;45,85;37;;;8,8;;51,6;;;298,0;;;;;;;;;0,03;;;;;;
29;Southern Asia;356;India;2006;Female;56,3;37,0;;;;;;74,36;;;46,6;;;;;;;;;;9,59;;;;;;74,2;;;49,97;38;;;8,3;;45,2;;47,4;265,0;;;;4,0;;;;23,9;0,04;;;;;;
30;Southern Asia;364;Iran (Islamic Republic of);2000;Female;73,8;;;;;;91,87;;;;89,6;;;17,0;;;44,75;;;33,6;17,78;;83,69;89,82;;;;;;75,93;41;;;4,9;;34,7;;;51,0;;;;;;;;;;;;;18,49;;
31;Southern Asia;364;Iran (Islamic Republic of);1996;Female;73,7;;19,67;;34,5;;;90,56;;;;;;23,4;10,61;;;;45,72;;13,46;0,92;;;;10,64;;;;;52;;;4,0;;47,7;16,68;;73,0;;;;;;20,76;;;;;;;;;
32;Southern Asia;364;Iran (Islamic Republic of);1995;Female;72,8;;;;;;;;;;;;;;;;;;;;;;;96,02;;;;;;64,19;53;;;3,4;;59,0;;;80,0;;;;;;;;;;;;;17,61;;
33;Southern Asia;364;Iran (Islamic Republic of);2011;Female;77,4;;;;23,31;;96,79;;;;;;;24,23;;28,38;96,75;;50,4;;48,47;;;104,51;;;;;;84,47;37;;;2,8;;23,0;26,3;;27,0;;;;;;;;;;;;;;;
34;Southern Asia;364;Iran (Islamic Republic of);1997;Female;72,9;;;;;;;;;;86,1;;;;;;85,46;;;;;;91,4;94,56;;;76,5;;;70,53;50;;;4,0;;47,9;;;66,0;;;;;;;;;;;;;;;
35;Southern Asia;364;Iran (Islamic Republic of);2002;Female;73,3;;;;;;95,68;95,66;;;;;;17,45;;;85,63;;;;19,16;;91,71;93,75;;;;;;75,34;38;;;3,4;;35,8;;;43,0;;;;;;;;;;;;;;;
36;Southern Asia;462;Maldives;1999;Female;42,0;65,0;;;;;;;;;;;;;;;89,2;;;;0,0;;95,71;;;;;;;41,29;19;;;6,3;;37,4;;;206,0;;;;;;;;;;;;;;;
37;Southern Asia;462;Maldives;2009;Female;34,7;85,1;;;;;;;;;96,9;;;;;;78,77;;;;;;95,76;108,5;;;99,1;;;;26;;;12,0;;18,9;;3,9;96,0;;;;11,0;;;;;0,09;;;;;;
38;Southern Asia;462;Maldives;2009;Female;34,7;85,1;;;;;;;;;94,8;;;;;;78,77;;;;;;95,76;108,5;;;99,1;;;;26;;;12,0;;18,9;;3,9;96,0;;;;11,0;;;;;0,09;;;;;;
39;Southern Asia;462;Maldives;2004;Female;39,0;91,0;;;;;95,11;;;;84,0;;;;;;94,27;;;;;;;175,84;;;95,0;;;74,02;21;;;6,0;;;;;114,0;;;;;;;;;;;;;;;
40;Southern Asia;462;Maldives;2004;Female;39,0;91,0;;;;;95,11;;;;85,2;;;;;;94,27;;;;;;;175,84;;;95,0;;;74,02;21;;;6,0;;;;;114,0;;;;;;;;;;;;;;;
41;Southern Asia;524;Nepal;2000;Female;37,3;;;;;;81,1;;;;11,9;;;;;;59,24;;;79,1;2,3;;64,56;57,18;;;27,0;;;29,02;31;;;5,9;;;;;548,0;;;;;;;;;;;;;17,13;;
42;Southern Asia;524;Nepal;1996;Female;28,5;8,8;;;;;;;;;9,0;;;;;;;;;;;;;;;66,5;23,6;;;33,99;28;;;3,4;;;;;631,0;;;;;;;;;;;;;;;
43;Southern Asia;524;Nepal;2001;Female;39,3;14,3;70,63;;13,67;;88,02;60,14;;;10,9;;;;54,45;;;;13,28;;;3,73;;59,35;;60,44;27,9;;;31,74;31;;;5,9;;;72,83;;527,0;;;;;;12,88;;;;;;;;;
44;Southern Asia;524;Nepal;2006;Female;48,0;29,4;;;;;;;;;18,7;;;;;;;;;;5,81;;;73,68;;;43,7;;;41,79;34;;;;;;;;425,0;;;;28,0;;;;;;;;;;;
45;Southern Asia;524;Nepal;2011;Female;49,7;50,1;;;;;;80,21;;;36,0;61,22;;;;;100,0;;;;11,29;;97,94;;;;58,3;;;60,67;37;;;33,2;;;;40,7;328,0;;;;;;;;14,3;;;;;;;
46;Southern Asia;524;Nepal;2014;Female;49,6;59,5;;;;;86,32;;;;55,6;77,9;;;;;97,06;;;;;;93,97;109,31;13,64;79,7;68,3;;;68,9;40;;;;;;;36,6;275,0;;;;;;;;;;;;;;;
47;Southern Asia;586;Pakistan;1999;Female;17,0;;11,7;;9,66;;;;;;18,0;;;;14,2;;;;20,84;;;0,08;;;;15,3;24,8;;;;28;;;2,3;;36,2;69,5;;318,0;;;;;;63,31;;;;;;;;;
48;Southern Asia;586;Pakistan;2003;Female;32,1;;15,72;;15,56;;73,67;;;;;;;;;;73,36;;19,81;;2,42;0,29;51,09;;;;;;;;30;45,3;;21,6;;23,7;64,63;;271,0;;;;;;46,87;;;;;;;;;
49;Southern Asia;586;Pakistan;2008;Female;27,0;;12,85;;12,17;;73,95;61,25;;10,5;;31,4;;37,21;19,15;;72,57;;12,87;;5,12;0,02;65,55;57,22;3,5714285714286;21,76;;;;30,26;30;;;21,1;;;74,96;;223,0;;;;;;64,99;;;;8,4;;;;;
50;Southern Asia;586;Pakistan;2007;Female;29,6;28,4;13,36;;12,63;;73,16;;;8,87;36,0;30,72;;37,21;18,45;;71,12;;15,0;;5,15;0,13;64,43;57,2;;21,26;60,9;;;29,85;30;;;21,3;;16,1;72,36;;230,0;;;;;;61,9;4,77;;;;;6,08;;;
51;Southern Asia;586;Pakistan;2007;Female;29,6;28,4;13,36;;12,63;;73,16;;;8,87;38,8;30,72;;37,21;18,45;;71,12;;15,0;;5,15;0,13;64,43;57,2;;21,26;60,9;;;29,85;30;;;21,3;;16,1;72,36;;230,0;;;;;;61,9;4,77;;;;;6,08;;;
52;Southern Asia;586;Pakistan;1996;Female;13,0;;13,25;;10,71;;;;;;18,0;;;;;;;;21,91;;;0,28;;;;;26,4;;;;27;;;1,8;;54,7;67,38;;353,0;;;;;;61,65;;;;;;;;;
53;Southern Asia;586;Pakistan;2001;Female;27,6;;16,65;;8,99;;;;;;23,0;;;;;;;;18,12;;;0,11;46,0;;;;43,3;;;;29;;;;;24,2;72,88;;294,0;;;;;;50,13;;;;;;;;;
54;Southern Asia;586;Pakistan;2006;Female;26,0;28,4;14,98;;14,97;;78,38;58,37;;9,65;38,8;;;37,21;18,61;;64,32;;16,19;;4,57;0,12;58,31;54,84;;21,05;60,9;;;28,09;30;;;21,3;;18,1;68,84;24,0;239,0;;;;7,0;;59,23;;;;;;;;;
55;Southern Asia;586;Pakistan;1995;Female;17,8;;13,23;;10,69;;;;;18,15;;;;;10,59;;;;21,93;;;0,26;;;;12,67;;;;;27;;;1,8;;;67,37;;363,0;;;;;;61,71;;;;;;;17,74;;
56;Southern Asia;586;Pakistan;1997;Female;23,9;;12,57;;10,48;;;;;20,95;18,0;;;;13,97;;;;23,11;;;0,24;;;;14,97;26,4;;;;28;;;;;52,3;66,36;;342,0;;;;;;54,14;;;;;;;;;
57;Southern Asia;586;Pakistan;2013;Female;35,4;36,6;;;2,5;;80,03;63,44;;12,5;52,1;34,09;;37,21;;;63,12;;2,9;81,9;10,25;;64,91;66,93;;21,5;73,1;;;33,45;31;;;20,7;;;16,9;21,0;190,0;;;;;;;;;;;;;;;
58;Southern Asia;586;Pakistan;2013;Female;35,4;36,6;;;2,5;;80,03;63,44;;12,5;55,0;34,09;;37,21;;;63,12;;2,9;81,9;10,25;;64,91;66,93;;21,5;73,1;;;33,45;31;;;20,7;;;16,9;21,0;190,0;;;;;;;;;;;;;;;
59;Developed regions;8;Albania;2000;Female;57,5;;;;;;97,6;;;;99,1;75,6;;38,19;;29,97;86,31;;;23,4;18,27;;95,19;97,45;;44,3;95,3;;;69,72;31;;;5,2;;15,3;;;43,0;;;;;;;;;;;;;22,67;;
60;Developed regions;8;Albania;2005;Female;60,1;;;;;;;;;;99,8;89,4;;;;;;;;;27,33;;;;5,2631578947368;27,3;97,1;;;75,01;30;;;6,4;;16,2;;;30,0;;;;;;;;;;;;;23,08;;
61;Developed regions;8;Albania;2009;Female;69,3;66,8;19,57;;10,34;;98,33;;;28,32;99,3;88,99;;;39,7;;69,95;;32,79;;39,2;0,36;88,7;93,7;;51,8;97,3;;;86,38;30;22,28;;7,1;;;56,87;9,6;30,0;22,47;;;19,0;;46,36;;;0,09;;;;;;0,42
62;Developed regions;8;Albania;2002;Female;75,1;41,1;;;;;;;;;98,0;81,35;;;45,66;;;;;;19,81;;;;;49,28;90,6;;;;23;;;5,7;;14,9;;;37,0;;;;;;;;;;;;;;;
63;Developed regions;36;Australia;2005;Female;72,3;;8,53;;9,33;;;;;10,34;99,4;;;42,05;69,57;31,34;76,09;;88,0;;80,81;5,35;96,77;;20,0;56,97;;;;146,5;10;46,19;;24,7;;15,5;2,46;;7,0;28,3;;;;;0,45;;;;;;;25,98;;
64;Developed regions;36;Australia;1995;Female;66,7;;8,41;;11,64;;;;;14,84;99,3;;;;69,56;;73,83;;84,78;;71,77;5,52;94,8;;;53,6;;;;142,22;7;45,27;;8,8;;20,2;3,6;;8,0;24,03;;;;;1,34;;;;;;;24,3;;
65;Developed regions;36;Australia;2002;Female;70,8;;8,61;;9,55;;;;;11,73;99,3;;;44,77;68,22;30,81;70,36;;87,19;;83,5;5,61;95,63;;;55,24;;;;152,87;9;46,96;;25,3;;16,9;3,04;;8,0;24,83;;;;;0,58;;;;;;;;;
66;Developed regions;40;Austria;2009;Female;69,6;;5,98;;11,46;;99,78;;;10,1;98,6;;;33,06;56,19;24,11;;;83,34;;65,72;2,6;;99,08;;54,05;;;;;-;46,36;;27,3;;10,3;5,21;;4,0;23,25;;;45,0;;2,57;;;0,12;;;;;68,26;0,47
67;Developed regions;40;Austria;1996;Female;50,9;;6,09;;15,62;;;;;6,52;98,2;;;26,11;56,38;;;;75,8;;46,71;2,73;;;;48,82;;;;102,77;-;25,16;;26,8;;15,8;8,58;;6,0;22,87;;;;;5,45;;;;;;;;;
68;Developed regions;56;Belgium;2010;Female;70,4;;6,58;;10,1;59,8;;;;22,37;;;31,7;45,15;29,77;23,99;94,69;;89,0;4,0;75,79;2,4;98,98;90,7;33,333333333333;47,71;;77,1;;104,21;-;42,32;;38,0;;9,2;0,89;;8,0;34,77;;;;30,1;1,81;;;;;91,4;;25,44;75,32;
69;Developed regions;56;Belgium;2001;Female;75,6;;7,06;;11,81;;;;;16,63;;;;37,99;29,96;23,9;91,85;;87,24;;62,39;2,01;99,17;;;41,87;;;;162,07;-;43,99;;23,3;;11,7;0,95;;9,0;28,38;;;;;3,95;;;;;;;;;
70;Developed regions;56;Belgium;2004;Female;74,6;;6,16;;10,87;;;;;19,51;;;;39,9;32,16;;95,27;;87,55;;66,81;2,25;97,0;;;44,25;;;;106,07;-;44,26;;35,3;;10,5;1,57;;8,0;26,91;;;;;3,26;;;;;;;;;
71;Developed regions;56;Belgium;1997;Female;56,5;;9,61;;10,7;;;;;25,7;;;;;29,32;;;;81,56;;;0,45;;;;41,01;;;;;-;33,58;;12,0;;10,0;1,48;;9,0;24,2;;;;;5,0;;;;;;;;;
72;Developed regions;70;Bosnia and Herzegovina;2000;Female;47,5;;;;;;;99,84;;;99,8;;;;;;;;;8,1;;;;;;;99,2;;;;;;;28,6;;18,0;;;17,0;;;;;;;;;;;;;20,85;;
73;Developed regions;70;Bosnia and Herzegovina;2000;Female;47,5;;;;;;;99,84;;;98,9;;;;;;;;;8,1;;;;;;;99,2;;;;;;;28,6;;18,0;;;17,0;;;;;;;;;;;;;20,85;;
74;Developed regions;70;Bosnia and Herzegovina;2006;Female;35,7;;15,9;;17,7;;;;;65,63;99,9;;;;26,56;;;;60,1;;34,8;15,9;;;;30,78;98,9;;;;;12,4;;16,7;;14,8;21,9;5,5;14,0;;;;35,0;;10,88;;;;;;;;;
75;Developed regions;70;Bosnia and Herzegovina;2006;Female;35,7;;15,9;;17,7;;;;;65,63;99,4;;;;26,56;;;;60,1;;34,8;15,9;;;;30,78;98,9;;;;;12,4;;16,7;;14,8;21,9;5,5;14,0;;;;35,0;;10,88;;;;;;;;;
76;Developed regions;70;Bosnia and Herzegovina;2012;Female;45,8;84,2;18,67;;16,7;;;99,7;;62,8;99,9;;;41,57;21,1;;;;60,7;5,9;43,3;;;;6,3;32,53;87,0;;;;;17,3;;21,4;;;22,7;3,5;12,0;;;;;;9,0;;;0,07;;;;;;0,64
77;Developed regions;70;Bosnia and Herzegovina;2012;Female;45,8;84,2;18,67;;16,7;;;99,7;;62,8;99,9;;;41,57;21,1;;;;60,7;5,9;43,3;;;;6,3;32,53;87,0;;;;;17,3;;21,4;;;22,7;3,5;12,0;;;;;;9,0;;;0,07;;;;;;0,64
78;Developed regions;100;Bulgaria;2005;Female;64,4;;6,53;;28,85;;98,22;;;21,04;99,4;;;44,98;24,53;41,14;88,02;;64,25;;47,64;2,28;93,71;99,34;23,809523809524002;44,4;;;;88,41;-;8,19;;26,3;;39,6;6,85;;15,0;40,61;;;;;2,25;;;;;;;20,48;;
79;Developed regions;100;Bulgaria;2007;Female;69,2;;5,41;;28,52;;97,22;;;15,94;99,6;;;45,44;25,96;41,25;99,25;;65,8;;54,95;2,35;95,66;97,12;;47,46;;;;89,69;-;8,83;;22,1;;43,0;5,67;;13,0;36,41;66,09;;;;1,65;;;;;;;;32,85;
80;Developed regions;100;Bulgaria;1998;Female;63,4;;;;;;98,37;;;;99,88;;;;;;95,08;;;;53,78;;96,33;93,52;;;;;;91,14;-;;;10,8;;;;;23,0;;;;;;;;;;;;;;;
81;Developed regions;100;Bulgaria;1995;Female;85,9;;;;;;98,79;;;;98,9;;;40,84;;;;;;;45,13;;;88,13;;;;;;92,08;-;;;13,3;;52,9;;;24,0;;;;;;;;;;;;;19,18;;
82;Developed regions;112;Belarus;2005;Female;72,6;;;;;;99,96;;;;100,0;;;55,68;;;;;;;77,8;;;95,14;10,0;45,3;99,4;;;;40;;;29,4;;;;6,6;13,0;;;;;;;;;;;;;19,48;;
83;Developed regions;112;Belarus;2005;Female;72,6;;;;;;99,96;;;;99,9;;;55,68;;;;;;;77,8;;;95,14;10,0;45,3;99,4;;;;40;;;29,4;;;;6,6;13,0;;;;;;;;;;;;;19,48;;
84;Developed regions;112;Belarus;1995;Female;50,4;;;;;;100,0;;;;99,9;;;;;;47,46;;;;;;85,97;93,38;;;;;;;33;;;3,8;;38,9;;;33,0;;;;;;;;;;;;;18,27;;
85;Developed regions;112;Belarus;2012;Female;63,1;99,7;;;;;98,64;;;;100,0;103,88;;60,54;;32,52;78,22;;;4,5;105,98;;94,21;102,85;3,4;86,0;99,7;;64;105,08;45;;;27,3;;;;3,2;4,0;;;;;;;;;;;;;;44,87;
86;Developed regions;112;Belarus;2012;Female;63,1;99,7;;;;;98,64;;;;99,8;103,88;;60,54;;32,52;78,22;;;4,5;105,98;;94,21;102,85;3,4;86,0;99,7;;64;105,08;45;;;27,3;;;;3,2;4,0;;;;;;;;;;;;;;44,87;
87;Developed regions;124;Canada;1998;Female;80,0;;9,52;;11,76;;;;;13,6;99,3;;;;60,12;29,79;98,52;;85,91;;67,56;3,15;98,46;94,6;;58,38;;;;104,79;-;28,6;;20,6;;19,8;2,31;;9,0;;;;;;0,66;4,05;;;;;7,2;;;
88;Developed regions;124;Canada;1995;Female;74,7;;;;11,73;;;;;13,18;98,0;;;33,77;61,34;;90,95;;85,91;;97,21;3,04;93,6;;;57,48;;;;104,64;-;28,5;;18,0;;24,3;2,36;;9,0;;;;;;0,7;;;;;;;24,12;;
89;Developed regions;124;Canada;1995;Female;74,7;;;;11,73;;;;;13,18;99,4;;;33,77;61,34;;90,95;;85,91;;97,21;3,04;93,6;;;57,48;;;;104,64;-;28,5;;18,0;;24,3;2,36;;9,0;;;;;;0,7;;;;;;;24,12;;
